C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
74  	BD+08 574B                         	Star            	057.4458787816400 +09.4160951523200	057.4458859893679 +09.4160918532337	057.3349721296480 -10.4081769296961	     ~   	     ~   	13.0     	     ~   	     ~   	K3V            	   1	   0
75  	HD 24002                           	HighPM*         	057.3984112341158 +01.3482470935758	057.3984177154432 +01.3482437987201	055.4430481454093 -18.2655824727789	     ~   	9.43     	     ~   	8.1      	     ~   	K1V            	  40	   0
76  	HD 24633                           	**              	058.7420695410100 -01.2632553847500	058.7420757912203 -01.2632587984738	056.2142779502052 -21.1112664085756	     ~   	9.67     	8.87     	     ~   	     ~   	K0V            	  35	   0
77  	G 80-30                            	HighPM*         	058.1047404563200 -02.9872260161200	058.1047465530228 -02.9872293736919	055.1284124899485 -22.6482808308517	     ~   	12.896   	11.683   	11.362   	     ~   	K5V            	  14	   0
78  	BD-07 699                          	HighPM*         	058.6477748812529 -06.8260150149814	058.6477806396849 -06.8260184204238	054.7388640346128 -26.5087860852364	11.693   	10.391   	9.015    	8.167    	7.4      	K5V            	  95	   0
79  	BD-10 742                          	HighPM*         	056.5967931207300 -10.0400090330700	056.5967985694423 -10.0400122561426	051.6365800778746 -29.1393887524411	     ~   	11.96    	10.864   	10.554   	     ~   	K4V            	  11	   0
80  	CD-24 1905                         	HighPM*         	057.5815453398300 -23.8291575066600	057.5815494496773 -23.8291608178249	048.1629921069106 -42.6746261831647	     ~   	11.06    	9.86     	9.774    	     ~   	K6V            	  18	   0
81  	HD 25036                           	**              	059.69470977 +02.50785496          	059.69471635 +02.50785147          	058.06330064 -17.63463236          	     ~   	9.916    	9.250    	8.980    	     ~   	K0V            	  13	   0
82  	HD 25628                           	HighPM*         	061.037857400 +01.460210000        	061.037863886 +01.460206388        	059.217842445 -18.937600130        	     ~   	10.343   	9.639    	9.513    	     ~   	K0V            	   6	   0
83  	HD 25682                           	HighPM*         	061.1278173402979 +00.2455734398372	061.1278237223367 +00.2455698197228	059.0482107000500 -20.1450264907598	     ~   	9.543    	9.233    	8.789    	     ~   	K0V            	  59	   0
84  	HD 24916                           	Eruptive*       	059.3695792459000 -01.1594640217900	059.3695855059875 -01.1594674903879	056.8948972757373 -21.1475706255105	10.224   	9.166    	8.014    	7.336    	6.724    	K4V            	 133	   0
85  	HD 25544                           	Star            	060.8300591203000 -04.6919861463800	060.8300650791290 -04.6919897410709	057.6153814504362 -24.9113543563038	     ~   	10.89    	9.54     	     ~   	     ~   	K0V            	   3	   0
86  	HD 25015                           	HighPM*         	059.4330003831900 -20.2677923493900	059.4330049025067 -20.2677958235108	051.6638711260240 -39.7260316400174	     ~   	9.75     	8.82     	     ~   	     ~   	K2Vk:Fe-0.5    	  24	   0
87  	BD-21 784                          	HighPM*         	061.6451739637846 -20.8531188333811	061.6451784774775 -20.8531224974360	054.0913457544667 -40.8228652981571	12.095   	10.904   	9.675    	8.93     	8.309    	K7V            	  68	   0
88  	CD-23 1712                         	HighPM*         	060.8253873078900 -22.8154452268800	060.8253916069441 -22.8154488211712	052.4330552797271 -42.5246012034193	     ~   	11.61    	10.326   	10.085   	     ~   	K5V            	  22	   0
89  	Ross 597                           	HighPM*         	064.3665062267234 +23.4684616181000	064.3665146155176 +23.4684577279159	066.6036009335901 +02.0871676211108	     ~   	12.60    	     ~   	10.938   	     ~   	K4V            	  27	   0
90  	HD 284310                          	SB*             	064.2786367541100 +22.6733145082200	064.2786450688183 +22.6733106252030	066.3867615754103 +01.3178711538132	     ~   	10.94    	9.77     	9.458    	     ~   	K7V            	  37	   0
91  	HG 8-13                            	HighPM*         	063.5901354011200 +21.4472023808800	063.5901436175122 +21.4471985543358	065.5440890399472 +00.2221767966239	     ~   	15.11    	     ~   	13.4     	     ~   	K5.5Ve         	   6	   0
92  	HD 284338                          	HighPM*         	064.5863618894200 +20.3605490152700	064.5863699782179 +20.3605451071934	066.2717014269124 -01.0096998825500	     ~   	11.83    	10.48    	10.057   	     ~   	K7V            	  16	   0
93  	LP 474-123                         	HighPM*         	061.9331299753200 +14.2234949428200	061.9331375610556 +14.2234912544373	062.6700452152482 -06.5925784828410	     ~   	     ~   	     ~   	10.350   	     ~   	K7V            	  22	   0
94  	BD+08 659                          	HighPM*         	064.0773715614604 +08.7194347276111	064.0773786418632 +08.7194308610449	063.7425583850404 -12.3881612635670	     ~   	11.03    	     ~   	9.2      	     ~   	K7V            	  21	   0
95  	HD 26794                           	HighPM*         	063.6262472304100 +03.0220526329600	063.6262538407207 +03.0220488034401	062.2123198002478 -17.9091870145369	     ~   	9.78     	     ~   	8.2      	     ~   	K3V            	  75	   0
96  	BD-04 782                          	SB*             	063.7897267769110 -04.4184392063097	063.7897327741362 -04.4184430492821	060.8659499057320 -25.2456174128836	11.755   	10.561   	9.332    	8.591    	7.953    	K5V            	  54	   0
97  	* omi02 Eri                        	Eruptive*       	063.8179984124771 -07.6528696608383	063.8180041410642 -07.6528735061340	060.1832147862299 -28.4223065846580	5.69     	5.25     	4.43     	3.74     	3.29     	K0V            	 774	   0
98  	BD-10 887                          	HighPM*         	064.6203696092871 -10.4626106263714	064.6203751111377 -10.4626145372104	060.4319879734765 -31.3336365230146	     ~   	10.89    	9.79     	     ~   	     ~   	K3.5Vk:        	  16	   0
99  	BD-15 728                          	HighPM*         	062.3598433102900 -14.6983464549100	062.3598484113132 -14.6983501791717	056.7813186802712 -35.0046857108352	     ~   	12.1     	10.614   	10.311   	     ~   	K5V            	  28	   0
100 	LP 774-47                          	HighPM*         	062.6953512113900 -19.1848392606300	062.6953559087055 -19.1848430129569	055.8734676561410 -39.4442462162316	     ~   	13.20    	11.479   	11.031   	     ~   	K6Vk:          	  11	   0
101 	K2-136                             	HighPM*         	067.4124746532300 +22.8827204260900	067.4124828954970 +22.8827162932312	069.2723081282164 +01.0541190883188	     ~   	12.48    	11.20    	10.90    	     ~   	K5.5V          	  37	   0
102 	HD 284455                          	HighPM*         	066.6984216393700 +21.2349209929500	066.6984297522692 +21.2349169159573	068.3629830372315 -00.4711194466875	     ~   	12.93    	11.195   	10.900   	     ~   	K5V            	  30	   0
103 	HG 8-15                            	HighPM*         	065.4686886441100 +21.3535938553200	065.4686968015675 +21.3535898760184	067.2513243996811 -00.1692327713246	     ~   	14.07    	     ~   	12.46    	     ~   	K6V            	  23	   0
104 	G 8-30                             	HighPM*         	065.6175837630100 +20.5536583789600	065.6175918430271 +20.5536543877316	067.2567301691809 -00.9811451051305	     ~   	12.78    	     ~   	11.401   	     ~   	K5V            	  14	   0
105 	HD 285773                          	BYDraV*         	067.3816932407900 +17.8931833832300	067.3817010416263 +17.8931792527663	068.4800391884227 -03.8722780105662	10.28    	9.761    	8.934    	8.486    	8.093    	K0V            	 186	   0
106 	HD 285742                          	BYDraV*         	066.2510296028500 +16.9848974636600	066.2510373506470 +16.9848934219935	067.2687979860050 -04.5999107500243	     ~   	11.276   	10.248   	9.665    	9.178    	K4V            	  81	   0
107 	HD 285804                          	HighPM*         	067.0452971625600 +16.4709391590300	067.0453048492600 +16.4709350548188	067.9410064492275 -05.2277649298069	     ~   	12.007   	11.057   	10.70    	     ~   	K7V            	  55	   0
108 	HD 28462                           	HighPM*         	067.4905332302600 +16.6728405880000	067.4905409245658 +16.6728364490728	068.3956390521535 -05.0941442005898	     ~   	10.051   	9.069    	9.12     	     ~   	K1V            	 138	   0
109 	HD 285805                          	BYDraV*         	067.3791015993600 +16.2447859656700	067.3791092598494 +16.2447818354080	068.2236829954554 -05.5007573246670	     ~   	11.48    	10.629   	10.02    	     ~   	K4V            	  84	   0
110 	V* V994 Tau                        	BYDraV*         	067.2117255997165 +16.2889398384252	067.2117332674553 +16.2889357212081	068.0710459987487 -05.4323499413094	     ~   	12.001   	10.698   	10.349   	     ~   	K4V            	  61	   0
111 	V* V989 Tau                        	BYDraV*         	065.8553347302500 +15.7631228290600	065.8553423807234 +15.7631188188432	066.6937599816325 -05.7439768094715	     ~   	11.885   	10.472   	10.19    	     ~   	K5V            	 110	   0
112 	HG 7-200                           	**              	066.2002423081900 +15.8747037329000	066.2002499613843 +15.8746996952593	067.0410486157271 -05.6877764508102	     ~   	13.060   	11.623   	11.44    	     ~   	K7V            	  63	   0
113 	HD 27990                           	SB*             	066.4482761374247 +18.0171931958702	066.4482839706189 +18.0171891385986	067.6205453392187 -03.6110062910988	     ~   	9.928    	8.989    	8.469    	8.011    	K2V            	  97	   0
114 	V* V990 Tau                        	BYDraV*         	066.0705823259700 +18.0029205093700	066.0705901665772 +18.0029164820216	067.2630203896920 -03.5674594982040	     ~   	11.035   	9.966    	9.364    	8.864    	K5V            	 113	   0
115 	BD-06 904                          	HighPM*         	066.5085608234200 -06.1807459307200	066.5085666948532 -06.1807499927514	063.4676765273238 -27.4819859815655	     ~   	10.61    	9.75     	     ~   	     ~   	K2V            	  24	   0
116 	BD-09 872                          	HighPM*         	065.0593393055200 -09.0370723588000	065.0593449313533 -09.0370763051735	061.2511570566220 -30.0210049947065	     ~   	11.0     	9.81     	     ~   	     ~   	K4Vk:          	  29	   0
117 	BD-15 767                          	HighPM*         	065.0441087738100 -14.7610671231200	065.0441139165556 -14.7610710682644	059.8713011542025 -35.6265569105216	     ~   	10.980   	9.778    	9.813    	     ~   	K4V            	  30	   0
118 	HD 28116                           	Star            	066.3781060701900 -17.1833787958400	066.3781110301780 -17.1833828475655	060.8215347137122 -38.2601080651524	     ~   	9.73     	8.21     	     ~   	     ~   	K4V            	  10	   0
119 	BPM 71376                          	HighPM*         	066.8738250807600 -19.5022605917200	066.8738298496515 -19.5022646824948	060.8041995850788 -40.6262005178592	     ~   	11.92    	10.64    	10.478   	     ~   	K4V            	   5	   0
120 	CPD-20 550                         	HighPM*         	065.3817082371742 -19.7564936723825	065.3817129458684 -19.7564976447042	058.9242311675555 -40.5766790362967	     ~   	11.72    	10.445   	10.152   	8.87     	K5V            	  10	   0
121 	HD 27701                           	**              	065.36999390 -20.91509177          	065.36999850 -20.91509574          	058.57139013 -41.70445058          	     ~   	9.75     	8.81     	     ~   	     ~   	K2.5V          	  28	   0
