C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
1992	TYC 843-1017-1                     	HighPM*         	155.0068708353200 +12.5038309651800	155.0068763222039 +12.5038263385686	152.2995555579613 +01.9805876375224	     ~   	12.15    	11.29    	     ~   	     ~   	K1V            	   1	   0
1993	TYC 1191-429-1                     	HighPM*         	012.2648093625200 +19.5676786152400	012.2648178344939 +19.5676799110564	018.9906489699858 +13.1595452382572	     ~   	12.79    	11.34    	     ~   	     ~   	K3V            	   1	   0
1994	TYC 1193-1616-1                    	HighPM*         	010.2208275151600 +20.3073524226600	010.2208360553874 +20.3073539294615	017.4843960372008 +14.6090470304761	     ~   	12.60    	11.50    	     ~   	     ~   	K0V            	   2	   0
1995	TYC 1194-631-1                     	Star            	011.4445924323800 +20.8733818808200	011.4446010507520 +20.8733832615145	018.8038085070604 +14.6643112918642	     ~   	11.82    	11.03    	     ~   	     ~   	K0V            	   4	   0
1996	TYC 1194-1203-1                    	Star            	012.4017885061500 +20.6840319581300	012.4017971105394 +20.6840332397451	019.5713475240343 +14.1313227978956	     ~   	11.89    	10.74    	     ~   	     ~   	K3V            	   1	   0
1997	TYC 1194-2002-1                    	Star            	010.9742458184400 +21.8202879008500	010.9742545449689 +21.8202893300906	018.7853409151571 +15.7074887457964	     ~   	13.48    	11.30    	     ~   	     ~   	K1V            	   1	   0
1998	TYC 1231-326-1                     	Star            	047.9080117465900 +21.3644038568300	047.9080202909436 +21.3644014492608	051.2912500502426 +03.4020849461349	     ~   	11.97    	10.94    	     ~   	     ~   	K1V            	   2	   0
1999	TYC 1322-93-1                      	Star            	092.2522056649000 +20.5836763614700	092.2522128930033 +20.5836707386247	092.1109562173463 -02.8391183698306	     ~   	13.04    	12.04    	     ~   	     ~   	K0V            	   2	   0
2000	TYC 1333-372-1                     	Star            	098.3053371844900 +17.9088988491000	098.3053440958788 +17.9088930141621	097.9344500188534 -05.3019352536435	     ~   	12.26    	11.44    	     ~   	     ~   	K2V            	   2	   0
2001	TYC 1372-65-1                      	Star            	113.3429958000700 +20.6561307375400	113.3430022104090 +20.6561246606217	111.7663968596990 -01.0365940889937	     ~   	12.29    	11.38    	     ~   	     ~   	K0V            	   2	   0
2002	TYC 1373-582-1                     	HighPM*         	114.5883920489700 +21.0758772756800	114.5883984094916 +21.0758711973591	112.8470872641970 -00.4343291400232	     ~   	12.73    	11.75    	     ~   	     ~   	K1V            	   1	   0
2003	TYC 1373-1501-1                    	HighPM*         	114.3967048765400 +21.7053142378200	114.3967112451368 +21.7053081595280	112.5672466408170 +00.1570564825385	     ~   	12.95    	11.34    	     ~   	     ~   	K3V            	   2	   0
2004	TYC 1373-2221-1                    	HighPM*         	115.7110839603300 +21.3241548466600	115.7110902743530 +21.3241487695359	113.8367709596284 -00.0126814455180	     ~   	12.64    	11.20    	     ~   	     ~   	K3V            	   2	   0
2005	TYC 1419-472-1                     	Star            	153.2929237164100 +17.1816793125100	153.2929289019395 +17.1816745700609	149.0670532843085 +05.7525252538533	     ~   	12.62    	11.40    	     ~   	     ~   	K0V            	   1	   0
2006	TYC 1419-637-1                     	HighPM*         	152.6192170915800 +16.8801867000500	152.6192223159937 +16.8801819132244	148.5700939205020 +05.2415059336531	     ~   	12.54    	11.37    	     ~   	     ~   	K0V            	   2	   0
2007	TYC 1442-1299-1                    	HighPM*         	180.6417948481300 +17.7489956370000	180.6417994309406 +17.7489931712991	173.3237867156047 +16.4952408604720	     ~   	12.67    	11.68    	     ~   	     ~   	K2V            	   1	   0
2008	TYC 1444-2389-1                    	HighPM*         	182.4321858768099 +19.0276485475900	182.4321902962935 +19.0276462566717	174.3839433405474 +18.3656208092355	     ~   	12.27    	11.45    	     ~   	     ~   	K2V            	   2	   0
2009	TYC 1451-6-1                       	HighPM*         	199.1240172936300 +16.3081846911700	199.1240218844123 +16.3081841138739	191.0319822563699 +22.5014332921217	     ~   	12.47    	11.09    	     ~   	     ~   	K2V            	   2	   0
2010	TYC 1451-612-1                     	**              	199.545189800 +16.836569800        	199.545194329 +16.836569267        	191.198535583 +23.148410231        	     ~   	12.56    	11.48    	11.10    	     ~   	K3V            	   1	   0
2011	TYC 1476-982-1                     	HighPM*         	216.5818455077600 +15.5128791782200	216.5818502186483 +15.5128804427913	208.5212529784128 +28.2820594804525	     ~   	12.97    	11.156   	10.767   	     ~   	K4V            	   3	   0
2012	BD+17 2785                         	HighPM*         	221.5970098181175 +16.4966983897119	221.5970144579964 +16.4967001691784	213.3036575020405 +30.9130694970294	11.666   	10.56    	9.23     	8.418    	7.745    	K5V            	  68	   0
2013	TYC 1481-620-1                     	HighPM*         	221.7038308673300 +17.5034223957100	221.7038353965884 +17.5034241860091	213.0050950118922 +31.8923512801738	     ~   	12.66    	11.44    	     ~   	     ~   	K4V            	   5	   0
2014	Qatar 6                            	HighPM*         	222.2103189195000 +22.1525445855500	222.2103229222768 +22.1525464271265	211.5324318756425 +36.4042980195272	     ~   	12.83    	11.50    	     ~   	     ~   	K2V            	   1	   0
2015	TYC 1678-683-1                     	Star            	326.4529529911900 +20.7924251930900	326.4529605712279 +20.7924303545903	336.8715080456944 +32.0862186541785	     ~   	12.93    	11.320   	10.925   	     ~   	K4V            	   2	   0
2016	PM J22142+1712                     	HighPM*         	333.5535362599300 +17.2071487344300	333.5535438051434 +17.2071534595365	342.3185266436335 +26.1448261076298	     ~   	12.30    	11.315   	10.823   	     ~   	K7.0V          	   6	   0
2017	TYC 1706-177-1                     	HighPM*         	343.9472264767500 +20.3498411297300	343.9472345489173 +20.3498450874982	353.6957324361119 +24.9726091344033	     ~   	12.50    	11.58    	     ~   	     ~   	K2V            	   1	   0
2018	TYC 1714-580-1                     	Star            	344.4645246939000 +19.9575597472500	344.4645327431350 +19.9575636632065	353.9985925973367 +24.4122533781585	     ~   	12.17    	11.28    	     ~   	     ~   	K0V            	   1	   0
2019	TYC 4723-1061-1                    	HighPM*         	056.0043343025600 -06.4831370418800	056.0043400742929 -06.4831402114930	051.9926052475709 -25.5484238160731	     ~   	13.31    	11.550   	11.231   	     ~   	K4V            	   3	   0
2020	HD 290576                          	HighPM*         	083.0377395671800 -00.6435239024600	083.0377458925822 -00.6435290830715	082.3816126313700 -23.8988852426874	     ~   	11.12    	10.12    	9.938    	     ~   	K4V            	   6	   0
2021	TYC 4799-165-1                     	Star            	100.3264870720500 -01.2934139866500	100.3264933993856 -01.2934198780125	101.3425523080365 -24.3270272466083	     ~   	12.79    	11.74    	     ~   	     ~   	K3V            	   1	   0
2022	TYC 4799-439-1                     	Star            	100.9915729973900 -00.1448621812500	100.9915793548921 -00.1448680895799	101.9658247014256 -23.1287460542473	     ~   	12.03    	11.43    	     ~   	     ~   	K2V            	   3	   0
2023	TYC 4799-1350-1                    	Star            	100.2935597127700 -01.6119302724700	100.2935660316888 -01.6119361629718	101.3338727201316 -24.6471424498777	     ~   	13.59    	12.29    	     ~   	     ~   	K1V            	   2	   0
2024	TYC 4799-1609-1                    	Star            	100.4330538936600 -00.9287092387400	100.4330602306990 -00.9287151328746	101.4275620735828 -23.9550811523448	     ~   	12.93    	11.55    	     ~   	     ~   	K1V            	   2	   0
2025	TYC 4799-1617-1                    	Star            	101.0648184272900 -00.9486903486300	101.0648247648886 -00.9486962587799	102.1181912373355 -23.9237228096286	     ~   	12.90    	12.34    	     ~   	     ~   	K3V            	   3	   0
2026	TYC 4800-1109-1                    	Star            	101.7017911893000 -00.5125704269500	101.7017975382970 -00.5125763525198	102.7702832989297 -23.4346080928049	     ~   	13.05    	12.37    	     ~   	     ~   	K0V            	   2	   0
2027	TYC 4800-1738-1                    	Star            	101.3737775074100 -00.7582633212700	101.3737838501509 -00.7582692389906	102.4370507305108 -23.7078444458549	     ~   	13.14    	10.83    	     ~   	     ~   	K5V            	   2	   0
2028	TYC 4804-1184-1                    	Star            	102.0895812505600 -02.7390441976100	102.0895875488084 -02.7390501322089	103.4152623124133 -25.6170786987206	     ~   	13.01    	11.95    	     ~   	     ~   	K2V            	   3	   0
2029	TYC 4804-1260-1                    	Star            	101.7227379167500 -02.5706966574000	101.7227442171627 -02.5707025834644	102.9938042402895 -25.4827614741449	     ~   	12.57    	11.58    	     ~   	     ~   	K2V            	   3	   0
2030	TYC 4809-2649-1                    	HighPM*         	103.3539954959000 -04.1812102569900	103.3540017705493 -04.1812162191385	104.9732106478806 -26.9290346878219	     ~   	11.81    	11.06    	     ~   	     ~   	K5V            	   2	   0
2031	BD-01 1865                         	Star            	117.9793231069500 -01.6548390006900	117.9793294784922 -01.6548450682785	120.4281687578223 -22.1871240346212	     ~   	11.72    	11.00    	     ~   	     ~   	K3V            	   1	   0
2032	BD-01 1909                         	Star            	119.7899031178000 -01.4057152839800	119.7899094924711 -01.4057213371317	122.2807466457495 -21.5686563934932	     ~   	12.19    	11.26    	     ~   	     ~   	K5V            	   1	   0
2033	Wolf 406                           	HighPM*         	182.0925261477162 -00.4826021604475	182.0925325561354 -00.4826044847013	182.1118599110716 +00.3893743783586	     ~   	12.46    	11.251   	10.765   	     ~   	K4V            	  57	   0
2034	BPM 75170                          	HighPM*         	184.3196364687399 -00.7128548707700	184.3196429008031 -00.7128569750118	184.2473044974993 +01.0625394096644	     ~   	12.62    	11.156   	10.734   	     ~   	K4V            	   8	   0
2035	G 104-337                          	HighPM*         	190.6109907821800 -00.5703501843000	190.6109972020120 -00.5703516509678	189.9769983586952 +03.6757603569507	     ~   	12.02    	11.22    	11.09    	     ~   	K2V            	  10	   0
2036	LP 622-6                           	HighPM*         	227.8142904893900 -00.8558147289200	227.8142969339309 -00.8558123304835	225.6008742140412 +16.3202100936785	     ~   	12.48    	11.621   	11.290   	     ~   	K5V            	   9	   0
2037	TYC 5035-226-1                     	Star            	246.6141790310400 -00.7090151258900	246.6141854480158 -00.7090110555302	244.8922388793193 +20.7150048350157	     ~   	12.11    	10.64    	     ~   	     ~   	K2V            	   8	   0
2038	BD-00 3113                         	Star            	246.6193896 -00.7058944            	246.6193960 -00.7058904            	244.8971662 +20.7189601            	     ~   	11.29    	10.46    	     ~   	     ~   	K2V            	   8	   0
2039	BPM 80520                          	HighPM*         	296.9489257347400 -00.3249613884100	296.9489320944226 -00.3249553153099	298.9252363316810 +20.4490093488481	     ~   	11.94    	11.174   	10.883   	     ~   	K5V            	   4	   0
2040	Wolf 905                           	HighPM*         	315.4103372276100 -00.4777423707200	315.4103435706933 -00.4777366899206	317.7263097097318 +15.7588824018343	     ~   	12.71    	10.840   	10.387   	     ~   	K7V            	  17	   0
2041	HD 220256                          	HighPM*         	350.5990892136613 -00.4148693155286	350.5990955382735 -00.4148659187842	351.1991972185761 +03.3438807812544	     ~   	9.40     	8.57     	     ~   	     ~   	K1V            	  57	   0
2042	TYC 5263-883-1                     	HighPM*         	001.8513151322400 -10.9401913535500	001.8513204096198 -10.9401890056722	357.2934319604580 -10.7626312453809	     ~   	12.40    	11.261   	10.989   	     ~   	K5V            	   5	   0
2043	TYC 5324-172-1                     	HighPM*         	069.9573676729600 -10.1631372550100	069.9573732687622 -10.1631415816961	066.5638993392471 -31.9861794407690	     ~   	12.36    	11.32    	     ~   	     ~   	K3V            	   3	   0
2044	TYC 5406-658-1                     	HighPM*         	107.4577007449900 -13.9546101256600	107.4577069189902 -13.9546161571586	111.1270968376169 -36.1222405271925	     ~   	12.10    	11.51    	     ~   	     ~   	K7V            	   3	   0
2045	WASP-107                           	HighPM*         	188.3868504628399 -10.1461737700900	188.3868578685967 -10.1461754645751	191.7072568032486 -05.9990983752150	     ~   	14.62    	11.47    	     ~   	     ~   	K7V            	  39	   0
2046	TYC 5535-91-1                      	HighPM*         	192.3358727235099 -08.0283874997300	192.3358799224623 -08.0283887881799	194.4709260528149 -02.5212492878246	     ~   	12.37    	11.32    	     ~   	     ~   	K1V            	   1	   0
2047	TYC 5634-1244-1                    	HighPM*         	246.5731000237100 -11.9668870895500	246.5731073422394 -11.9668830224278	246.7673435592349 +09.6029250870116	     ~   	12.11    	11.56    	     ~   	     ~   	K3V            	   2	   0
2048	TYC 5698-5013-1                    	HighPM*         	275.8326188077900 -11.6150359558900	275.8326255703170 -11.6150301998497	275.8345480470857 +11.7062081972059	     ~   	12.85    	11.83    	     ~   	     ~   	K2V            	   5	   0
2049	TOI-942                            	Star            	076.6495464221400 -20.2455955114700	076.6495514053433 -20.2456003061844	072.8007912509321 -42.8910412175772	     ~   	12.899   	11.963   	11.647   	     ~   	K2.2V          	  14	   0
2050	TYC 5918-1151-1                    	HighPM*         	086.5030470845400 -15.8003904462100	086.5030526362637 -15.8003958095126	085.6573289963066 -39.1869863769766	     ~   	12.84    	11.62    	     ~   	     ~   	K4V            	   4	   0
2051	SCR J1103-1741                     	HighPM*         	165.8803562794600 -17.6841489978300	165.8803641531705 -17.6841527977267	174.2886562861042 -21.7868296311837	     ~   	12.03    	11.379   	10.912   	9.23     	K5V            	   7	   0
2052	TYC 6121-320-1                     	HighPM*         	202.4164345947200 -16.5551414580600	202.4164427613960 -16.5551416868915	206.8565407212891 -06.6628579870667	     ~   	12.72    	11.68    	     ~   	     ~   	K5V            	   3	   0
2053	TYC 6196-1611-1                    	Star            	232.9048218492500 -21.9469358046000	232.9048303662493 -21.9469329200581	235.9377180792216 -02.7867685612736	     ~   	12.67    	11.23    	     ~   	     ~   	K4V            	   5	   0
2054	K2-139                             	Star            	289.0665385004400 -17.9106693091300	289.0665450500932 -17.9106632588679	288.1633090878915 +04.3344635941629	     ~   	12.43    	11.65    	     ~   	     ~   	K0V            	  12	   0
2055	BD-21 6470                         	Star            	356.2934808008600 -20.9407174228800	356.2934851135740 -20.9407145430422	348.0318829460888 -17.6916077678094	     ~   	12.31    	11.33    	     ~   	     ~   	K5V            	   1	   0
2056	HD 73752B                          	HighPM*         	129.782936892 -22.661855467        	129.782943919 -22.661861332        	139.892216807 -39.462985155        	     ~   	6.00     	5.29     	     ~   	     ~   	K0V            	   7	   0
2057	TYC 6939-913-1                     	HighPM*         	323.5753151429200 -23.8953926215900	323.5753201984049 -23.8953873054398	318.1378535390091 -08.9574301620407	     ~   	13.23    	12.01    	     ~   	     ~   	K3V            	   2	   0
2058	TYC 6939-947-1                     	HighPM*         	323.5687785322500 -23.8917947028400	323.5687835882250 -23.8917893863536	318.1333098646818 -08.9520899549988	     ~   	12.43    	11.44    	     ~   	     ~   	K0V            	   5	   0
2059	BD+15 4829                         	HighPM*         	352.1088241110099 +16.0666851004100	352.1088319491252 +16.0666883631703	359.3405647062233 +17.8422381402843	     ~   	11.26    	9.92     	9.46     	     ~   	K5V            	  24	   0
2060	CoRoT 102798429                    	Star            	101.4761697694800 -01.7063205284000	101.4761760895579 -01.7063264485916	102.6386004768350 -24.6435172639689	     ~   	17.73    	16.101   	15.522   	     ~   	K7V            	   3	   0
2061	CoRoT 102903238                    	Star            	102.1476580231500 -02.0032419938100	102.1476643385122 -02.0032479297377	103.4040324657395 -24.8790618890148	     ~   	     ~   	16.214   	15.925   	     ~   	K7V            	   3	   0
2062	CoRoT 102899501                    	Star            	102.1283798590900 -02.5723898965000	102.1283861613491 -02.5723958319873	103.4409508097405 -25.4475545058740	     ~   	13.6     	12.846   	12.2     	     ~   	K0V            	   2	   0
2063	BPM 90021                          	HighPM*         	218.4456776098400 +19.1104428449000	218.4456819263259 +19.1104443021695	208.9164055261153 +32.2809364110937	     ~   	12.86    	11.697   	11.152   	     ~   	K7V            	   7	   0
2064	CoRoT 100519170                    	Star            	290.7430007702900 +01.4063113664300	290.7430071214312 +01.4063174311691	292.6625490582327 +23.2284210598306	     ~   	17.545   	16.181   	15.77    	     ~   	K2V            	   1	   0
2065	CoRoT 100543054                    	Star            	290.7787716829900 +01.3262267813600	290.7787780347869 +01.3262328463515	292.6876281573385 +23.1437989086006	     ~   	16.868   	15.535   	15.92    	     ~   	K0V            	   1	   0
2066	CoRoT 100722142                    	Star            	291.0555919810600 +01.2255487532400	291.0555983341912 +01.2255548201045	292.9679451926086 +23.0016078854891	     ~   	     ~   	     ~   	15.352   	     ~   	K5V            	   1	   0
2067	CoRoT 100723404                    	Star            	291.0581945357900 +01.3945285141900	291.0582008878272 +01.3945345810714	292.9992770482854 +23.1681316593662	     ~   	     ~   	     ~   	15.772   	     ~   	K5V            	   1	   0
2068	CoRoT 100736747                    	Star            	291.0810625277400 +01.2406889066900	291.0810688808310 +01.2406949737197	292.9978298495270 +23.0126082822872	     ~   	16.6     	15.51    	15.253   	     ~   	K5V            	   3	   0
2069	CoRoT 100796424                    	Star            	291.1605519572300 +00.8831992604200	291.1605583127621 +00.8832053279576	293.0226906311665 +22.6471083328310	     ~   	     ~   	     ~   	     ~   	     ~   	K2V            	   2	   0
2070	CoRoT 100820430                    	Star            	291.1921338751799 +00.6261980312400	291.1921402323722 +00.6262040989762	293.0131834735771 +22.3883231994159	     ~   	16.585   	15.354   	14.778   	     ~   	K5V            	   1	   0
2071	CoRoT 100840079                    	Star            	291.2178903963200 +00.8461742396500	291.2178967521758 +00.8461803075468	293.0777962137264 +22.6016050485871	     ~   	     ~   	     ~   	15.698   	     ~   	K5V            	   1	   0
2072	CoRoT 101139463                    	Star            	291.6720215700700 +00.5613227948500	291.6720279281664 +00.5613288653765	293.5144440930758 +22.2488594401736	     ~   	     ~   	     ~   	15.828   	     ~   	K5V            	   1	   0
2073	CoRoT 101195094                    	Variable*       	291.7593760789900 +00.5437627900900	291.7593824372685 +00.5437688610786	293.6045938213956 +22.2176341435143	     ~   	     ~   	15.825   	15.824   	     ~   	K5V            	   2	   0
2074	CoRoT 101237986                    	Star            	291.8264954203200 +00.5248858824400	291.8265017787620 +00.5248919537741	293.6729052804867 +22.1882936303011	     ~   	     ~   	     ~   	15.843   	     ~   	K5V            	   1	   0
2075	CoRoT 102636100                    	Star            	100.5757762327100 -01.2508424928400	100.5757825617176 -01.2508483906554	101.6114425419047 -24.2648587468834	     ~   	     ~   	     ~   	     ~   	     ~   	K8V            	   2	   0
2076	UCAC4 448-022358                   	Be*             	101.2643369788800 -00.5705324321500	101.2643433260568 -00.5705383472085	102.3005872762823 -23.5301212460201	     ~   	14.82    	13.902   	14.04    	     ~   	K3V            	   8	   0
2077	CoRoT 100746852                    	Variable*       	291.0944470379700 +01.3425990473700	291.0944533904352 +01.3426051144861	293.0294253025210 +23.1111965281824	     ~   	17.291   	16.269   	15.855   	15.175   	K2V            	   3	   0
2078	CoRoT 102709980                    	Variable*       	100.9635249046400 -00.6507656578600	100.9635312495046 -00.6507715654905	101.9808565414134 -23.6352385155496	     ~   	14.952   	14.107   	13.742   	13.371   	K0V            	   3	   0
2079	CoRoT 102769572                    	Variable*       	101.3038217200000 -00.8514606385200	101.3038280603754 -00.8514665545415	102.3696059335360 -23.8066778872919	     ~   	17.284   	16.258   	15.934   	15.209   	K5V            	   2	   0
2080	CoRoT 105398310                    	Variable*       	280.0335385001100 +06.1272890116600	280.0335446973991 +06.1272948952969	281.4426854522648 +29.1689038084313	     ~   	15.525   	14.538   	14.242   	13.525   	K0V            	   2	   0
2081	CoRoT 105572582                    	Variable*       	280.2830757929800 +05.9688512692600	280.2830819972171 +05.9688571594873	281.7111576702117 +28.9910574407142	     ~   	16.535   	15.523   	15.05    	14.549   	K2V            	   2	   0
2082	CoRoT 105595725                    	Variable*       	280.3234760811000 +05.7551173471700	280.3234822914117 +05.7551232384538	281.7370706347738 +28.7747647502885	     ~   	13.465   	12.597   	12.41    	11.659   	K2V            	   2	   0
2083	CoRoT 105693572                    	Variable*       	280.4792274 +07.9865200            	280.4792336 +07.9865259            	282.1280198 +30.9856892            	     ~   	13.845   	12.947   	12.636   	12.185   	K2V            	   2	   0
2084	CoRoT 105735736                    	Variable*       	280.5423155152500 +05.5589526367000	280.5423217329258 +05.5589585336557	281.9660785507005 +28.5613841889026	     ~   	15.350   	14.409   	14.003   	13.479   	K2V            	   2	   0
2085	CoRoT 106024409                    	Variable*       	281.0897000435800 +05.6670277802200	281.0897062640462 +05.6670336909860	282.5947177914496 +28.6227565940684	     ~   	15.722   	14.694   	14.413   	13.743   	K2V            	   6	   0
2086	CoRoT 110656049                    	Cepheid         	102.2889931549400 -05.1117713213900	102.2889994003585 -05.1117772605261	103.8872976461465 -27.9605579968609	     ~   	16.040   	15.095   	14.695   	14.215   	K2V            	   3	   0
2087	2MASS J18440115+0054556            	TTauri*         	281.0048049903900 +00.9154585721300	281.0048113287135 +00.9154644807894	282.0497536097905 +23.8956039610881	     ~   	     ~   	     ~   	     ~   	     ~   	K7Ve           	   1	   0
2088	CoRoT 102749787                    	Star            	101.1924629671400 -00.0712184332700	101.1924693265026 -00.0712243465685	102.1767826096167 -23.0386461800853	     ~   	14.7     	13.810   	13.7     	     ~   	K2V            	   2	   0
2089	CoRoT-32                           	gammaDorV*      	100.1951672099100 +09.2574150673400	100.1951738170494 +09.2574091794216	100.3640133290550 -13.8158397402257	     ~   	14.40    	13.72    	13.82    	     ~   	K0V            	  10	   0
2090	CoRoT 221699621                    	Star            	097.3756306993900 +06.2751834906300	097.3756372581304 +06.2751776840892	097.6668325056756 -16.9680331640758	     ~   	     ~   	     ~   	     ~   	     ~   	K0V            	   2	   0
2091	[KER2009] lra2a 485                	Variable*       	102.2460933888500 -03.9858828842300	102.2460996595345 -03.9858888223961	103.7186080645427 -26.8438547723977	     ~   	     ~   	16.450   	15.334   	     ~   	K7V            	   3	   0
2092	2MASS J06495275-0346122            	LongPeriodV*    	102.4698223703300 -03.7700782434100	102.4698286474536 -03.7700841865983	103.9443564230435 -26.6077569758046	     ~   	     ~   	14.480   	14.219   	     ~   	K2V            	   3	   0
2093	2MASS J06492634-0413091            	EclBin          	102.3597585002900 -04.2192409026000	102.3597647665310 -04.2192468433289	103.8701170139233 -27.0653748464298	     ~   	     ~   	13.655   	13.181   	     ~   	K5V            	   2	   0
2094	CoRoT 110660657                    	RRLyrae         	102.5136371890700 -04.2858157286400	102.5136434550045 -04.2858216728012	104.0488792305497 -27.1168748557329	     ~   	     ~   	13.560   	13.287   	     ~   	K2V            	   2	   0
2095	2MASS J06505503-0411143            	alf2CVnV*       	102.729300 -04.187325              	102.729306 -04.187331              	104.278438 -26.997863              	     ~   	     ~   	14.275   	13.948   	     ~   	K2V            	   3	   0
2096	CoRoT 110752597                    	ClassicalCep    	102.8301445877600 -03.9978642413100	102.8301508624070 -03.9978701923962	104.3697175313112 -26.7994024855595	     ~   	     ~   	14.459   	13.974   	     ~   	K5V            	   2	   0
2097	2MASS J06505580-0446098            	EllipVar        	102.7324872922900 -04.7694040317400	102.7324935493332 -04.7694099807088	104.3465998274813 -27.5767903481238	     ~   	     ~   	14.165   	13.632   	     ~   	K5V            	   3	   0
2098	2MASS J06513157-0425357            	EclBin          	102.8815852882300 -04.4266015248500	102.8815915539829 -04.4266074770445	104.4748210956236 -27.2209226284909	     ~   	     ~   	13.930   	13.383   	     ~   	K5V            	   2	   0
2099	2MASS J06524739-0544130            	EllipVar        	103.1974844094600 -05.7369534839300	103.1974906501161 -05.7369594428256	104.9793530586216 -28.4925622910664	     ~   	     ~   	13.711   	13.247   	     ~   	K5V            	   3	   0
2100	2MASS J06531683-0347141            	LongPeriodV*    	103.3201576322300 -03.7872523536300	103.3201639148177 -03.7872583150790	104.8902925598875 -26.5406298179300	     ~   	     ~   	14.356   	     ~   	     ~   	K2V            	   2	   0
2101	2MASS J06500644-0438566            	EclBin          	102.5268711226800 -04.6490770469400	102.5268773806250 -04.6490829913944	104.1033240170686 -27.4771415164642	     ~   	     ~   	14.090   	13.79    	     ~   	K2V            	   2	   0
2102	HD 146413B                         	HighPM*         	243.9880555240958 +07.3579072415219	243.9880612788142 +07.3579111007725	240.4374425968395 +28.1667314989505	     ~   	11.03    	9.70     	     ~   	     ~   	K5V            	   9	   0
2103	Cl* NGC 2632 JC 201                	**              	130.088904800 +19.181772500        	130.088910595 +19.181766643        	127.465423901 +00.803948473        	     ~   	15.52    	14.11    	13.96    	     ~   	K6V            	  18	   0
2104	UGCS J084255.48+171658.2           	Star            	130.7312752263700 +17.2828453218900	130.7312810612096 +17.2828394836546	128.5445949877683 -00.8734302981845	     ~   	     ~   	     ~   	     ~   	     ~   	K5V            	   9	   0
2105	Wolf 1313                          	HighPM*         	059.1327517602200 +23.9117810081600	059.1327603408139 +23.9117775602234	061.9750972506119 +03.4255988781029	     ~   	14.42    	13.46    	13.35    	     ~   	K2V            	   3	   0
2106	UCAC2 29839009                     	HighPM*         	181.3720676265999 -05.8480847589500	181.3720745599270 -05.8480871536408	183.5894083714591 -04.8189957174615	     ~   	12.79    	11.78    	11.53    	10.74    	K4V            	   7	   0
2107	UCAC3 176-135057                   	HighPM*         	232.7741590675000 -02.3925931645500	232.7741656524353 -02.3925902922169	231.0041566624455 +16.1501324727990	     ~   	13.131   	11.935   	11.49    	10.31    	K5V            	   5	   0
2108	GSC 04946-01107                    	HighPM*         	183.8465500751900 -06.2682382649900	183.8465570607305 -06.2682404162443	186.0212048014568 -04.2235741600509	     ~   	12.74    	11.73    	11.51    	10.59    	K4V            	   7	   0
2109	K2-110                             	HighPM*         	207.3495411680000 -12.2844786233700	207.3495488511220 -12.2844783290337	209.7725803160760 -00.9538508130100	     ~   	12.83    	11.91    	11.79    	10.92    	K2V            	  20	   0
2110	StKM 2-1584                        	**              	331.9101763875473 -06.8343001423151	331.9101823068381 -06.8342953095005	331.4662330322062 +04.4038348712846	     ~   	13.755   	12.440   	12.026   	10.51    	K5V            	   6	   0
2111	UCAC3 162-293983                   	HighPM*         	331.9252850454600 -09.2670540522500	331.9252908048610 -09.2670492204076	330.6236019517849 +02.1210991482015	     ~   	12.89    	11.757   	11.403   	10.23    	K5V            	   5	   0
2112	UCAC4 371-001510                   	**              	020.531163000 -15.803138100        	020.531167645 -15.803137671        	012.592126418 -22.587555929        	     ~   	12.586   	11.482   	11.018   	10.43    	K5V            	   4	   0
2113	UCAC3 175-258759                   	HighPM*         	335.5781455989600 -02.5742894325300	335.5781517807674 -02.5742848454535	336.4306814579882 +07.0703124964402	     ~   	14.01    	12.74    	12.402   	11.26    	K5V            	   4	   0
2114	UCAC3 162-300288                   	HighPM*         	357.2667687343100 -09.1024725179900	357.2667742300901 -09.1024697294919	353.8583563199827 -07.2625830666623	     ~   	13.67    	     ~   	12.29    	11.18    	K7V            	   4	   0
2115	K2-62                              	HighPM*         	334.3641764884500 -12.1875028109800	334.3641820094030 -12.1874981404411	331.8273384398345 -01.4595798986793	     ~   	13.51    	12.40    	12.20    	11.19    	K3V            	  14	   0
2116	UCAC3 170-284683                   	Star            	347.4537298191400 -05.4664558906600	347.4537357164333 -05.4664522224559	346.3323292504365 -00.0794522194372	     ~   	14.892   	13.460   	13.11    	11.80    	K7V            	   5	   0
2117	K2-55                              	Low-Mass*       	333.7519350965900 -17.2507047299700	333.7519402653397 -17.2507000181315	329.4537687872502 -05.9739085386525	     ~   	14.75    	13.55    	13.24    	12.09    	K7V            	  16	   0
2118	CoRoT 102616722                    	Variable*       	100.4571526444900 +00.8869109469700	100.4571590285514 +00.8869050522113	101.2990160603036 -22.1431573058282	     ~   	     ~   	13.027   	12.363   	     ~   	K7V            	   3	   0
